symbol,company_name,cik,filer_name,match_method,first_period,last_period,quarters_present,quarters_expected,gaps,continuous,calls_split,calls_unsplit,calls_low_confidence
UAL,"United Airlines Holdings, Inc.",100517,"United Airlines Holdings, Inc.",edgar_ticker,2015Q1,2024Q4,40,40,0,,35,2,4
UBER,"Uber Technologies, Inc.",1543151,"Uber Technologies, Inc",edgar_ticker,2020Q1,2024Q4,20,20,0,,19,1,1
UDR,"UDR, Inc.",,,,2016Q1,2024Q4,36,36,0,,37,0,0
UHS,"Universal Health Services, Inc.",,,,2014Q1,2024Q4,44,44,0,,43,1,1
UIS,,,,,,,0,52,52,,7,0,0
ULTA,"Ulta Beauty, Inc.",,,,2016Q1,2024Q4,36,36,0,,31,0,5
UNH,UnitedHealth Group Incorporated,731766,UNITEDHEALTH GROUP INC,edgar_ticker,2013Q1,2024Q4,48,48,0,,46,1,2
UNM,,,,,2012Q1,2021Q4,40,40,0,,49,6,0
UNP,Union Pacific Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
UPS,"United Parcel Service, Inc.",1090727,UNITED PARCEL SERVICE INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,63,7,0
URBN,,,,,2012Q1,2017Q4,24,24,0,,28,0,0
URI,"United Rentals, Inc.",,,,2014Q1,2024Q4,44,44,0,,45,0,0
USB,U.S. Bancorp,36104,US BANCORP \DE\,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,4,2
UST,,,,,,,0,52,52,,5,1,0
V,Visa Inc.,1403161,VISA INC.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,64,1,1
VAL,,,,,2012Q1,2016Q4,20,20,0,,38,0,0
VAR,,,,,2012Q1,2020Q2,34,34,0,,50,0,0
VFC,,,,,2012Q1,2024Q4,49,52,3,,62,2,4
VIAB,,,,,2012Q1,2019Q4,32,32,0,,32,9,1
VIAV,,,,,2012Q1,2013Q4,8,8,0,,23,1,0
VICI,VICI Properties Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
VLO,Valero Energy Corporation,,,,2012Q1,2024Q4,52,52,0,yes,71,1,0
VLTO,Veralto Corporation,,,,2023Q3,2024Q4,6,6,0,,6,1,0
VMC,Vulcan Materials Company,,,,2012Q1,2024Q4,52,52,0,yes,65,5,0
VNO,,,,,2012Q2,2023Q4,47,47,0,,43,4,0
VNT,,,,,2020Q3,2021Q4,6,6,0,,6,0,0
VRSK,"Verisk Analytics, Inc.",,,,2015Q1,2024Q4,40,40,0,,40,1,0
VRSN,"VeriSign, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,5,1
VRTX,Vertex Pharmaceuticals Incorporated,,,,2013Q1,2024Q4,48,48,0,,48,0,1
VST,Vistra Corp.,,,,2020Q1,2024Q4,19,20,1,,20,0,0
VTR,"Ventas, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,65,0,0
VTRS,Viatris Inc.,,,,2012Q1,2024Q4,50,52,2,,60,0,1
VZ,Verizon Communications Inc.,732712,VERIZON COMMUNICATIONS INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,3,0
WAB,Westinghouse Air Brake Technologies Corporation,,,,2019Q1,2024Q4,24,24,0,,25,0,0
WAT,Waters Corporation,,,,2012Q1,2024Q4,52,52,0,yes,68,3,0
WBA,"Walgreens Boots Alliance, Inc.",1618921,"Walgreens Boots Alliance, Inc.",verified_alias,2012Q1,2024Q4,52,52,0,yes,64,12,0
WBD,"Warner Bros. Discovery, Inc.",1437107,"Warner Bros. Discovery, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,57,1,0
WCG,,,,,2018Q1,2019Q3,7,7,0,,4,3,0
WDAY,"Workday, Inc.",,,,2020Q1,2024Q4,20,20,0,,24,0,0
WDC,Western Digital Corporation,,,,2012Q1,2024Q4,52,52,0,yes,61,1,2
WEC,"WEC Energy Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,61,6,0
WELL,Welltower Inc.,,,,2012Q1,2024Q4,52,52,0,yes,62,3,0
WEN,,,,,,,0,52,52,,7,1,0
WFC,Wells Fargo & Company,,,,2012Q1,2024Q4,52,52,0,yes,64,8,0
WHR,,,,,2012Q1,2024Q4,52,52,0,yes,66,3,1
WM,"Waste Management, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,1,0
WMB,"The Williams Companies, Inc.",,,,2012Q1,2024Q4,49,52,3,,61,13,0
WMT,Walmart Inc.,104169,Walmart Inc.,edgar_ticker,2012Q1,2024Q4,47,52,5,,24,37,0
WPX,,,,,2012Q2,2014Q4,11,11,0,,10,1,0
WRB,W. R. Berkley Corporation,,,,2019Q1,2024Q4,24,24,0,,25,0,0
WRK,,,,,2012Q1,2023Q3,47,47,0,,62,1,1
WSM,"Williams-Sonoma, Inc.",,,,2020Q1,2024Q4,19,20,1,,17,2,0
WST,"West Pharmaceutical Services, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
WTW,Willis Towers Watson Public Limited Company,,,,2016Q1,2024Q4,36,36,0,,29,0,8
WU,,,,,2012Q1,2021Q4,40,40,0,,59,0,0
WY,Weyerhaeuser Company,,,,2012Q1,2024Q4,52,52,0,yes,70,0,1
WYND,,,,,2018Q2,2018Q4,3,3,0,,3,0,0
WYNN,"Wynn Resorts, Limited",,,,2012Q1,2024Q4,52,52,0,yes,64,3,2
X,,,,,2012Q1,2014Q4,12,12,0,,26,2,2
XEC,,,,,2014Q1,2020Q4,26,28,2,,26,0,0
XEL,Xcel Energy Inc.,,,,2012Q1,2024Q4,52,52,0,yes,69,7,2
XLNX,,,,,2012Q1,2021Q2,38,38,0,,60,0,0
XOM,Exxon Mobil Corporation,34088,EXXON MOBIL CORP,verified_alias,2012Q1,2024Q4,52,52,0,yes,67,10,1
XRAY,,,,,2012Q1,2024Q4,51,52,1,,55,11,1
XRX,,,,,2012Q1,2021Q4,39,40,1,,60,1,1
XYL,Xylem Inc.,,,,2012Q1,2024Q4,52,52,0,yes,53,0,0
YUM,"Yum! Brands, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,73,3,0
ZBH,"Zimmer Biomet Holdings, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,69,1,1
ZBRA,Zebra Technologies Corporation,,,,2019Q1,2024Q4,24,24,0,,25,0,0
ZION,,,,,2012Q1,2024Q4,52,52,0,yes,66,4,0
ZTS,Zoetis Inc.,,,,2013Q1,2024Q4,48,48,0,,48,0,1
